City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,puerto lempira,15.2667,-83.7667,26.62,89,100,5.07,HN,1689478077
346,hotan,37.0997,79.9269,32.58,10,18,0.78,CN,1689478077
347,rodolfo sanchez taboada,31.7167,-116.5667,18.94,76,64,0.89,MX,1689478077
348,kayenta,36.7278,-110.2546,27.77,10,0,2.78,US,1689478077
349,manghit,42.1156,60.0597,26.99,18,55,2.61,UZ,1689478077
350,lagunillas,10.1301,-71.2595,26.31,85,99,1.41,VE,1689478078
351,tralee,52.2704,-9.7026,11.82,86,79,5.15,IE,1689478078
352,lubao,14.9167,120.55,28.04,88,100,5.04,PH,1689478078
353,fort mcmurray,56.7268,-111.381,19.77,59,0,1.54,CA,1689478017
354,ambovombe,-25.1667,46.0833,15.25,71,0,2.32,MG,1689478078
355,san antonio de pale,-1.4014,5.6325,23.11,84,3,6.13,GQ,1689478078
356,island harbour,50.724,-1.2758,16.77,80,19,2.24,GB,1689478078
357,oeiras,-7.0253,-42.1311,22.79,44,0,2.04,BR,1689478078
358,howrah,22.5892,88.3103,28.0,94,100,4.63,IN,1689478078
359,kristiansund,63.1115,7.732,16.03,82,75,3.09,NO,1689478078
360,lorengau,-2.0226,147.2712,29.3,69,79,6.76,PG,1689478079
361,forde,61.4522,5.8572,15.0,93,75,2.57,NO,1689478079
362,harstad,68.799,16.5293,13.78,81,1,4.47,NO,1689478079
363,zeya,53.75,127.2667,30.29,39,8,2.62,RU,1689478079
364,giado,31.9582,12.0203,24.87,22,0,4.46,LY,1689478079
